venda_id;produto_id;id_loja;quantidade;dia;mes
1;27;3;4;1;4
2;5;6;4;1;4
3;11;5;4;1;4
4;37;5;3;1;4
5;6;4;2;1;4
6;16;3;2;1;4
7;31;3;1;1;4
8;43;6;3;1;4
9;50;4;1;1;4
10;22;5;1;1;4
11;30;1;2;1;4
12;27;1;4;1;4
13;30;3;3;1;4
14;24;4;3;1;4
15;50;5;1;1;4
16;20;5;3;1;4
17;9;6;4;1;4
18;44;5;1;1;4
19;13;6;2;1;4
20;20;4;2;1;4
21;22;5;1;1;4
22;19;2;2;1;4
23;31;2;3;1;4
24;7;3;4;1;4
25;46;3;4;2;4
26;11;1;3;2;4
27;16;2;1;2;4
28;14;5;3;2;4
29;4;6;3;2;4
30;1;2;3;2;4
31;41;3;1;2;4
32;44;3;4;2;4
33;2;2;1;2;4
34;8;2;3;2;4
35;44;6;3;2;4
36;34;1;3;2;4
37;49;6;3;2;4
38;39;4;4;2;4
39;6;1;4;2;4
40;23;5;3;2;4
41;50;4;3;2;4
42;3;6;4;2;4
43;13;5;3;2;4
44;15;1;1;2;4
45;38;4;4;2;4
46;18;1;4;2;4
47;30;5;3;3;4
48;4;5;2;3;4
49;5;3;3;3;4
50;7;5;3;3;4
51;34;1;3;3;4
52;27;5;4;3;4
53;7;4;2;3;4
54;46;5;4;3;4
55;30;3;2;3;4
56;3;2;2;3;4
57;21;3;3;3;4
58;27;2;3;3;4
59;19;2;2;3;4
60;16;4;3;3;4
61;22;1;3;3;4
62;22;3;3;3;4
63;14;4;3;3;4
64;4;4;4;3;4
65;18;5;1;3;4
66;15;4;1;3;4
67;15;2;2;3;4
68;34;2;4;3;4
69;17;3;1;4;4
70;46;2;3;4;4
71;31;2;2;4;4
72;33;2;1;4;4
73;9;4;3;4;4
74;14;4;4;4;4
75;18;1;3;4;4
76;18;2;4;4;4
77;6;5;3;4;4
78;6;3;4;4;4
79;31;2;1;4;4
80;45;1;3;4;4
81;18;4;1;4;4
82;28;6;4;4;4
83;26;2;2;4;4
84;32;6;2;4;4
85;4;3;4;4;4
86;10;6;4;4;4
87;40;5;4;4;4
88;38;2;2;4;4
89;48;3;3;4;4
90;36;5;4;5;4
91;28;5;4;5;4
92;34;3;4;5;4
93;5;6;3;5;4
94;22;2;3;5;4
95;1;6;3;5;4
96;24;1;1;5;4
97;14;5;2;5;4
98;48;2;4;5;4
99;45;4;4;5;4
100;20;3;1;5;4
101;21;2;3;5;4
102;23;6;1;5;4
103;27;1;3;5;4
104;25;3;4;5;4
105;25;5;3;5;4
106;20;6;1;5;4
107;9;5;1;5;4
108;27;5;1;5;4
109;7;2;2;6;4
110;34;6;4;6;4
111;15;4;1;6;4
112;41;3;1;6;4
113;46;3;4;6;4
114;33;3;1;6;4
115;25;3;1;6;4
116;13;6;2;6;4
117;38;4;3;6;4
118;20;5;3;6;4
119;17;5;1;6;4
120;14;2;1;6;4
121;45;3;2;6;4
122;46;2;1;6;4
123;28;2;3;6;4
124;22;1;2;6;4
125;30;1;2;6;4
126;4;3;4;6;4
127;5;6;3;6;4
128;15;2;1;6;4
129;22;2;2;6;4
130;13;4;4;6;4
131;30;3;3;6;4
132;26;5;2;7;4
133;4;1;2;7;4
134;7;6;3;7;4
135;33;5;1;7;4
136;13;6;2;7;4
137;21;1;1;7;4
138;47;4;1;7;4
139;46;1;4;7;4
140;17;1;4;7;4
141;36;6;1;7;4
142;2;5;4;7;4
143;39;4;1;7;4
144;49;5;3;7;4
145;46;3;2;7;4
146;35;5;3;7;4
147;33;3;2;7;4
148;17;1;1;7;4
149;17;6;1;8;4
150;21;1;1;8;4
151;33;5;3;8;4
152;46;5;3;8;4
153;7;5;3;8;4
154;10;2;2;8;4
155;32;4;1;8;4
156;1;6;1;8;4
157;16;3;4;8;4
158;37;5;1;8;4
159;28;5;2;8;4
160;23;1;4;8;4
161;3;4;4;8;4
162;22;4;3;8;4
163;8;2;2;8;4
164;17;5;4;8;4
165;8;1;2;8;4
166;13;4;2;8;4
167;38;6;1;8;4
168;28;2;2;8;4
169;26;5;3;9;4
170;49;1;1;9;4
171;23;3;1;9;4
172;27;5;4;9;4
173;39;6;3;9;4
174;24;6;1;9;4
175;49;6;4;9;4
176;23;4;1;9;4
177;39;2;2;9;4
178;32;2;2;9;4
179;27;3;4;9;4
180;46;3;1;9;4
181;15;1;1;9;4
182;31;6;2;9;4
183;26;1;2;9;4
184;25;5;3;9;4
185;18;1;3;9;4
186;19;1;2;9;4
187;46;2;1;9;4
188;14;4;3;9;4
189;6;4;1;9;4
190;6;3;3;9;4
191;21;5;4;9;4
192;46;2;1;9;4
193;12;1;3;9;4
194;41;1;2;9;4
195;2;5;2;9;4
196;47;5;4;9;4
197;35;3;3;9;4
198;15;3;1;9;4
199;14;6;4;9;4
200;12;6;3;9;4
201;17;5;4;9;4
202;16;5;2;9;4
203;3;4;3;9;4
204;11;3;4;10;4
205;20;6;3;10;4
206;37;5;1;10;4
207;38;6;4;10;4
208;34;3;4;10;4
209;3;2;2;10;4
210;8;3;2;10;4
211;23;4;4;10;4
212;13;4;3;10;4
213;48;3;3;10;4
214;27;2;1;10;4
215;9;6;1;10;4
216;12;5;1;10;4
217;27;5;3;10;4
218;25;6;1;10;4
219;49;2;4;10;4
