venda_id;produto_id;id_loja;quantidade;dia;mes
700;23;1;4;1;5
701;42;3;4;1;5
702;26;1;4;1;5
703;11;4;3;1;5
704;18;6;2;1;5
705;31;5;2;1;5
706;18;2;1;1;5
707;9;2;3;1;5
708;21;3;1;1;5
709;17;2;1;1;5
710;19;5;2;1;5
711;1;2;4;1;5
712;42;4;3;1;5
713;2;2;3;1;5
714;15;3;1;1;5
715;45;3;3;1;5
716;23;5;4;1;5
717;29;5;1;1;5
718;27;6;2;1;5
719;2;6;2;1;5
720;13;1;1;1;5
721;27;4;2;1;5
722;50;3;3;1;5
723;9;1;4;1;5
724;26;5;4;2;5
725;13;1;3;2;5
726;16;6;1;2;5
727;14;3;3;2;5
728;25;5;3;2;5
729;40;4;3;2;5
730;31;5;1;2;5
731;27;1;4;2;5
732;45;1;1;2;5
733;38;4;3;2;5
734;30;4;3;2;5
735;5;1;3;2;5
736;25;3;3;2;5
737;50;2;4;2;5
738;32;4;4;2;5
739;37;4;3;2;5
740;33;2;3;2;5
741;28;3;4;2;5
742;33;2;3;2;5
743;25;1;1;2;5
744;17;2;4;2;5
745;43;6;4;2;5
746;27;5;3;3;5
747;16;4;2;3;5
748;34;4;3;3;5
749;39;5;3;3;5
750;21;5;3;3;5
751;20;5;4;3;5
752;50;5;2;3;5
753;16;1;4;3;5
754;23;3;2;3;5
755;50;5;2;3;5
756;28;6;3;3;5
757;44;6;3;3;5
758;46;2;2;3;5
759;10;6;3;3;5
760;40;4;3;3;5
761;7;6;3;3;5
762;5;4;3;3;5
763;47;5;4;3;5
764;50;1;1;3;5
765;3;1;1;3;5
766;17;3;2;3;5
767;26;6;4;3;5
768;40;1;1;4;5
769;16;1;3;4;5
770;18;2;2;4;5
771;36;2;1;4;5
772;44;2;3;4;5
773;27;5;4;4;5
774;11;6;3;4;5
775;44;3;4;4;5
776;30;5;3;4;5
777;38;1;4;4;5
778;10;4;1;4;5
779;31;6;3;4;5
780;2;1;1;4;5
781;7;6;4;4;5
782;20;4;2;4;5
783;31;1;2;4;5
784;14;2;4;4;5
785;6;2;4;4;5
786;22;3;4;4;5
787;40;6;2;4;5
788;6;2;3;4;5
789;37;1;4;5;5
790;37;1;4;5;5
791;25;6;4;5;5
792;45;3;3;5;5
793;11;3;3;5;5
794;35;4;3;5;5
795;33;5;1;5;5
796;9;3;2;5;5
797;44;1;4;5;5
798;22;6;4;5;5
799;38;2;1;5;5
800;27;1;3;5;5
801;22;6;1;5;5
802;30;2;3;5;5
803;28;6;4;5;5
804;14;5;3;5;5
805;33;5;1;5;5
806;2;3;1;5;5
807;40;6;1;5;5
808;6;6;2;6;5
809;26;5;4;6;5
810;16;2;1;6;5
811;12;3;1;6;5
812;4;6;4;6;5
813;20;4;1;6;5
814;2;5;1;6;5
815;50;3;2;6;5
816;13;4;3;6;5
817;39;5;3;6;5
818;6;4;1;6;5
819;21;5;1;6;5
820;19;4;2;6;5
821;2;3;1;6;5
822;16;1;3;6;5
823;19;2;2;6;5
824;43;3;2;6;5
825;46;5;4;6;5
826;39;1;3;6;5
827;9;4;1;6;5
828;37;6;2;6;5
829;32;3;4;6;5
830;4;5;3;6;5
831;4;1;2;7;5
832;25;4;2;7;5
833;40;4;3;7;5
834;7;3;1;7;5
835;32;2;2;7;5
836;22;4;1;7;5
837;19;2;1;7;5
838;20;5;4;7;5
839;8;1;4;7;5
840;43;5;1;7;5
841;28;2;4;7;5
842;31;3;1;7;5
843;37;3;3;7;5
844;1;1;2;7;5
845;13;4;3;7;5
846;20;5;2;7;5
847;12;2;1;7;5
848;13;1;1;8;5
849;1;5;1;8;5
850;30;5;3;8;5
851;4;2;3;8;5
852;25;4;3;8;5
853;48;4;2;8;5
854;34;3;1;8;5
855;34;1;1;8;5
856;49;3;4;8;5
857;7;6;1;8;5
858;26;1;2;8;5
859;5;2;4;8;5
860;19;6;4;8;5
861;41;3;3;8;5
862;46;4;2;8;5
863;11;1;4;8;5
864;46;5;2;8;5
865;20;2;2;8;5
866;24;4;1;8;5
867;31;6;2;8;5
868;30;5;3;9;5
869;8;4;1;9;5
870;25;3;1;9;5
871;2;1;4;9;5
872;39;5;3;9;5
873;32;3;1;9;5
874;6;4;4;9;5
875;48;4;1;9;5
876;33;1;2;9;5
877;31;6;2;9;5
878;20;1;4;9;5
879;3;1;1;9;5
880;13;4;1;9;5
881;17;1;2;9;5
882;4;3;2;9;5
883;27;5;3;9;5
884;5;5;3;9;5
885;3;4;2;9;5
886;47;6;1;9;5
887;30;5;3;9;5
888;1;4;1;9;5
889;42;4;3;9;5
890;26;4;4;9;5
891;1;6;1;9;5
892;22;5;3;9;5
893;38;6;2;9;5
894;37;2;2;9;5
895;12;2;4;9;5
896;18;4;3;9;5
897;12;3;1;9;5
898;18;1;4;9;5
899;13;5;3;9;5
900;34;6;4;9;5
901;2;5;2;9;5
902;15;2;3;9;5
903;10;1;4;10;5
904;30;1;3;10;5
905;6;4;1;10;5
906;2;5;4;10;5
907;19;5;4;10;5
908;39;5;2;10;5
909;6;4;2;10;5
910;1;1;4;10;5
911;27;6;3;10;5
912;49;4;3;10;5
913;23;4;1;10;5
914;28;4;1;10;5
915;5;6;1;10;5
916;43;1;3;10;5
917;44;3;1;10;5
918;49;5;4;10;5
919;34;3;1;10;5
920;28;5;1;10;5
921;45;1;3;10;5
922;41;4;2;10;5
923;21;3;1;10;5
924;17;4;3;10;5
925;39;3;1;10;5
926;26;2;1;10;5
927;24;6;2;10;5
928;10;1;4;10;5
929;1;2;3;10;5
930;5;6;4;10;5
931;47;3;1;10;5
932;20;4;1;10;5
933;17;5;3;10;5
934;41;4;4;11;5
935;41;5;4;11;5
936;42;1;1;11;5
937;16;4;1;11;5
938;25;2;1;11;5
939;49;6;1;11;5
940;23;3;1;11;5
941;10;4;4;11;5
942;16;4;3;11;5
943;22;4;1;11;5
944;50;1;4;11;5
945;13;2;2;11;5
